word,type,english,class_decl,root,notes
kesi,Verb,"Live, to",,kes,
marvi,Verb,"Die, to",,marv,
sa,Verb,"Be, to, become, to",,sa,Irregular (future form = to become)
varka,Noun,Dragon,1,varak,
da,Conjunction,And,,da,
wa,Verb,"Have, to",,wa,Irregular
nehir,Noun,Mind,2,nehir,
akosh,Noun,God,1,akosh,
kius,Noun,Darkness,1,kius,
kevu,Noun,Wolf,2,kev,
lisi,Verb,"Talk, to",,lis,
telan,Noun,Angel,1,tel,
rahan,Noun,Demon,2,rah,
deshasi,Verb,"Fly, to",,deshas,
gikan,Noun,Power,3,gik,
gishan,Noun,Dream,3,gish,
shal,Adjective,Beautiful,,shal,Strong Adj. Shal - Sheli - Sheli
kal,Noun,Eye,1,kal,
telas,Adjective,Angelic,,tel,
situ,Noun,Void,2,situ,
marvan,Noun,Death,1,marv,
kesan,Noun,Life,1,kes,
kedan,Noun,Magic,1,ked,
talan,Noun,Sun,1,tal,
araki,Verb,"Shine, to",,arak,
han,Noun,Tomorrow,1,han,
akim,Adverb,Again,,ak,
litas,Adjective,Bright,,lit,
mokar,Noun,Moon,1,mokr,
nunis,Adverb,Now,,nun,
hanis,Adverb,Tomorrow,,han,
kumas,Adjective,All the,,kum,
krini,Verb,shout,,krin,
shar,Noun,"Person, individual",1,shar,
dur,Adjective,"Some, some of",,dur,Strong. Adj Dur - dur - dur
nal,Adjective,"Many, Much, Many of",,nal,Strong Adj. Nal - Neli - Neli
shandan,Noun,Happiness,3,shand,
shandas,Adjective,Happy,,shand,
nelis,Adverb,Often,,nel,
nosh,Numeral,Zero,,nosh,
shi,Numeral,One,,shi,
ra,Numeral,Two,,ra,
vul,Numeral,Three,,vul,
vak,Numeral,Four,,vak,
aris,Numeral,Five,,aris,
kan,Numeral,Six,,kan,
rok,Numeral,Seven,,rok,
shu,Numeral,Eight,,shu,
vuk,Numeral,Nine,,vuk,
kash,Numeral,Ten,,kash,
varu,Noun,Cat,2,var,
daita,Noun,Up,3,dait,
daitim,Adverb,Up,,dait,
furi,Verb,"Jump, to",,fur,
vashiru,Noun,Kitten,2,var,
masu,Noun,Table,2,mas,
rasa,Noun,"Distance, separation",3,ras,
rasim,Adverb,"From a distance, far away, away",,ras,"3° Class, used with Ablative Case (often used as away)"
mawari,Verb,"Walk, to",,mawar,
nil,Adjective,"Little, Small",,nil,Strong Adj. Nil - Nil - Nil
mani,Verb,"Water, to",,man,
rumani,Verb,"Rain, to",,man,Detransitive from Man
rumanan,Noun,Rain,2,man,"2° Class, Future Participle of Nandu"
mashas,Adjective,Black,,maj,
shunari,Verb,"Play, To",,jun,
vani,Verb,"Stop, To",,van,Intransitive
sivani,Verb,"Stop, To",,van,Transitive from Van
vadis,Adverb,Soon,,vad,
adari,Verb,"Hope, to",,adar,
adaris,Adverb,I Hope...,,adar,"1° Class, Used with Instrumental Case (Literally, Using hope)"
adaran,Noun,Hope,3,adar,
vandu,Noun,Animal,2,vand,
narman,Noun,Time,1,narm,
karnas,Adjective,"Much, Many",,karn,
vandas,Adjective,"Wild, Natural",,vand,
talnarim,Adverb,Here,,nar,
nar,Noun,Place,3,nar,
salnarim,Adverb,There,,nar,
akalari,Verb,"Look at, Look, to",,kal,
volkas,Adjective,Slow,,fulk,
volkim,Adverb,Slowly,,fulk,
ravim,Adverb,Around,,rav,"3° Class, Used with Nok + Ablative Case"
ravu,Noun,Surroundings,3,rav,
arishi,Verb,"Go, to",,arix,
shandis,Adverb,I wil be happy to,,hand,
rinaki,Verb,"Arrive, to",,rinak,
vanbu,Noun,Ball,2,vanb,
vasa,Noun,Baby,1,vas,
valiri,Verb,"Roll, to",,val,
mishari,Verb,"Work, to",,mishar,
ralva,Noun,"Boy, Girl",1,ralv,
rukim,Adverb,Together,,ruk,
xavun,Noun,Mist,2,havun,
uri,Noun,Chance,3,uri,
urimis,Adverb,Probably,,urim,"Used to indicate a chance, Probably, it is possible that"
amari,Verb,"Free, to / Clear, to",,am,
amarvan,Noun,Freedom,3,am,
yamaran,Noun,Liberator,1,am,
mishan,Noun,Job,2,mirk,
anarim,Adverb,Everywhere,,nar,
shirvari,Verb,"Grow, to",,jirv,
daran,Noun,Element (Natural),1,dar,
anila,Noun,Flower,2,anix,
waki,Verb,"Eat, to",,wak,
a-,Prefix,More,,ya,Accrescitive
tashali,Verb,"Come, to",,taxal,
